DOEID
REGIONC
DIVISION
REPORTABLE_DOMAIN
TYPEHUQ
NWEIGHT
HDD65
CDD65
Climate_Region_Pub
AIA_Zone
METROMICRO
UR
KOWNRENT
CONDCOOP
YEARMADE
YEARMADERANGE
OCCUPYYRANGE
CONVERSION
ORIG1FAM
LOOKLIKE
NUMFLRS
NUMAPTS
NAPTFLRS
STORIES
TYPEHUQ4
BEDROOMS
NCOMBATH
NHAFBATH
OTHROOMS
TOTROOMS
STOVEN
STOVENFUEL
STOVE
STOVEFUEL
OVEN
OVENFUEL
OVENUSE
MICRO
AMTMICRO
OUTGRILL
OUTGRILLFUEL
TOASTER
NUMMEAL
FUELFOOD
NUMFRIG
TYPERFR1
SIZRFRI1
REFRIGT1
ICE
AGERFRI1
ESFRIG
REPLCFRI
TYPERFR2
SIZRFRI2
MONRFRI2
AGERFRI2
SEPFREEZ
NUMFREEZ
UPRTFRZR
SIZFREEZ
REPLCFRZ
UPRTFRZR2
SIZFREEZ2
AGEFRZR2
DISHWASH
DWASHUSE
AGEDW
ESDISHW
REPLCDW
CWASHER
TOPFRONT
WASHLOAD
WASHTEMP
RNSETEMP
AGECWASH
ESCWASH
DRYER
DRYRFUEL
DRYRUSE
AGECDRYER
TVCOLOR
TVSIZE1
TVTYPE1
CABLESAT1
COMBODVR1
DVR1
DIGITSTB1
PLAYSTA1
COMBOVCRDVD1
VCR1
DVD1
TVAUDIOSYS1
OTHERSTB1
TVONWD1
TVONWDWATCH1
TVONWE1
TVONWEWATCH1
TVSIZE2
TVTYPE2
CABLESAT2
COMBODVR2
DVR2
DIGITSTB2
PLAYSTA2
COMBOVCRDVD2
VCR2
DVD2
TVAUDIOSYS2
OTHERSTB2
TVONWD2
TVONWDWATCH2
TVONWE2
TVONWEWATCH2
COMPUTER
NUMPC
PCTYPE1
MONITOR1
TIMEON1
PCONOFF1
PCSLEEP1
PCTYPE2
MONITOR2
TIMEON2
PCONOFF2
PCSLEEP2
INTERNET
INDIALUP
INDSL
INCABLE
INSATEL
INWIRELESS
WELLPUMP
DIPSTICK
SWAMPCOL
AQUARIUM
BATTOOLS
BATCHRG
